id;adi;yeri;hatlar;point;px;py;weight;is_active;sp_distance;sp_duration;sp_weight
3266;11875;Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı;108,157-3,182,182-2;;39.7618;32.7645;0;f;30725.4;2337.4;4704.2
3267;10301;Koru Mh.Ankaralılar Cd.Yenimahalle;587,588,588-1,592-1,593,594,595;;39.881;32.677;3;t;11508.4;1085;2182.6
3268;51194;Erler Mh.Etimesgut Yolu Etimesgut;507,507-2,511,511-3,512-3,512-4,517,521,521-3,524,530,530-2,530-3,532,532-3,538,541,541-1,541-2,541-3,567,569,573;;39.9153;32.7104;0;f;7150;806.2;1617.3
3269;A12;Emek Mh.Emek Ankaray Altgeçidi Çankaya;ANKARAY-AŞTİ-Dikimevi,ANKARAY-Dikimevi-AŞTİ;;39.9232;32.8149;0;f;14181.2;1242.3;2490.1
3270;10540;İncek Mh.Turgut Özal Blv.Gölbaşı;192,194,196;;39.8008;32.6972;0;f;10939.6;1479.2;3060.2
3271;41013;Yıldırım Mh.Kiraz Sk.Akyurt;468-2,488-2;;40.1306;33.0822;0;f;51177.2;3829.4;7732.5
3272;30661;Peyami Sefa Mh.335.Sk.Mamak;297-3,373,375,380,380-6,383,385-2;;39.918;32.9002;0;f;21315.3;2267.7;4615.3
3273;51929;30 Ağustos Mh.Mh.Hikmet Özer Cd.Etimesgut;530-2;;39.9379;32.6569;0;f;14489.6;1728;3522.3
3274;20568;İvedik Osb 1341.Cd.Yenimahalle;217,234;;40.0004;32.7541;0;f;20217.3;2326.8;4696.4
3275;52298;-;522;;39.9247;32.7329;0;f;11149.9;1313.3;2632.2
